AMZN,AAPL
3027.98999,120.529999
3074.959961,119.989998
3110.870117,123.389999
3137.5,122.540001
3087.070068,120.089996
3046.26001,120.589996
3052.030029,121.209999
3075.72998,121.389999
3055.290039,119.900002
3094.080078,122.150002
3161,123
3226.72998,125.900002
3223.820068,126.209999
3279.389893,127.900002
3299.300049,130.360001
3372.199951,133
3379.389893,131.240005
3400,134.429993
3333,132.029999
3379.090088,134.5
3399.439941,134.160004
3372.01001,134.839996
3334.689941,133.110001
3362.02002,133.5
3309.040039,131.940002
3340.879883,134.320007
3409,134.720001
3417.429932,134.389999
3458.5,133.580002
3471.310059,133.479996
3467.419922,131.460007
3386.48999,132.539993
3311.870117,127.849998
3270.540039,128.100006
3306.370117,129.740005
3291.610107,130.210007
3190.48999,126.849998
3223.909912,125.910004
3151.939941,122.769997
3161.469971,124.970001
3222.899902,127.449997
3270.389893,126.269997
3232.280029,124.849998
3231.800049,124.690002
3247.679932,127.309998
3203.080078,125.43
3244.98999,127.099998
3259.050049,126.900002
3265.159912,126.849998
3230.110107,125.279999
3223.070068,124.610001
3218.649902,124.279999
3233.98999,125.059998
3187.01001,123.540001
3206.219971,125.889999
3198.01001,125.900002
3264.110107,126.739998
3281.149902,127.129997
3349.649902,126.110001
3346.830078,127.349998
3383.870117,130.479996
3383.129883,129.639999
3415.25,130.149994
3489.23999,131.789993
3486.899902,130.460007
3453.959961,132.300003
3505.439941,133.979996
3503.820068,133.699997
3449.080078,133.410004
3401.459961,133.110001
3443.889893,134.779999
3448.139893,136.330002
3440.159912,136.960007
3432.969971,137.270004
3510.97998,139.960007
3675.73999,142.020004
3696.580078,144.570007
3731.409912,143.240005
3719.340088,145.110001
3718.550049,144.5
3677.360107,145.639999
3681.679932,149.149994
3631.199951,148.479996
3573.629883,146.389999
3549.590088,142.449997
3573.189941,146.149994
3585.199951,145.399994
3638.030029,146.800003
3656.639893,148.559998
3699.820068,148.990005
3626.389893,146.770004
3630.320068,144.979996
3599.919922,145.639999
3327.590088,145.860001
3331.47998,145.520004
3366.23999,147.360001
3354.719971,146.949997
3375.98999,147.059998
3344.939941,146.139999
